USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
MN	2721320	Montevideo Public School District	PK	12	480185747	2868101	     185.401	       1.107	 44.985600	 -95.706008                                                                                   
MN	2721390	Monticello Public School District	KG	12	214801432	15221711	      82.935	       5.877	 45.300334	 -93.847481                                                                                  
MN	2721420	Moorhead Public School District	PK	12	526274156	10452	     203.196	       0.004	 46.897999	 -96.720466                                                                                       
MN	2721450	Moose Lake Public School District	PK	12	399153951	11815182	     154.114	       4.562	 46.433845	 -92.795329                                                                                  
MN	2721480	Mora Public School District	PK	12	657220624	20446142	     253.754	       7.894	 45.952051	 -93.271457                                                                                        
MN	2722920	Westonka Public School District	PK	12	50182089	26415440	      19.375	      10.199	 44.939649	 -93.665103                                                                                     
MN	2722950	Mounds View Public School District	KG	12	97510339	13241186	      37.649	       5.112	 45.083501	 -93.154925                                                                                  
MN	2723010	Mountain Lake Public Schools	PK	12	357403241	2900943	     137.994	       1.120	 43.939273	 -94.953077                                                                                        
MN	2723310	Nashwauk-Keewatin School District	PK	12	683258088	33877000	     263.807	      13.080	 47.390794	 -93.148951                                                                                  
MN	2723370	Nevis Public School District	KG	12	285662295	42169925	     110.295	      16.282	 46.947632	 -94.887480                                                                                       
MN	2723400	New London-Spicer School District	PK	12	352577897	79607408	     136.131	      30.737	 45.290276	 -94.995058                                                                                  
MN	2723430	New Prague Area Schools	KG	12	398753167	7759482	     153.959	       2.996	 44.556291	 -93.512178                                                                                             
MN	2723490	New Ulm Public School District	PK	12	806973263	15752690	     311.574	       6.082	 44.290550	 -94.465855                                                                                     
MN	2723520	New York Mills Public School District	PK	12	463562138	11459418	     178.982	       4.425	 46.549888	 -95.343190                                                                              
MN	2723550	Marshall County Central Schools	PK	12	794754988	3663	     306.857	       0.001	 48.305944	 -96.336309                                                                                        
MN	2723580	Nicollet Public School District	PK	12	319261956	40488499	     123.268	      15.633	 44.308109	 -94.207485                                                                                    
MN	2723820	North Branch Public Schools	PK	12	439189583	14750187	     169.572	       5.695	 45.505235	 -92.952680                                                                                        
MN	2723850	North St. Paul-Maplewood School District	KG	12	90594123	4101115	      34.979	       1.583	 44.982967	 -92.980859                                                                             
MN	2723880	Northfield Public School District	PK	12	451551468	12370620	     174.345	       4.776	 44.465829	 -93.206544                                                                                  
MN	2723910	Central Public School District	KG	12	280279388	7523164	     108.216	       2.905	 44.762745	 -93.903500                                                                                      
MN	2723970	Ogilvie Public School District	PK	12	395712085	5372147	     152.785	       2.074	 45.837980	 -93.446139                                                                                      
